response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Union,65 and older,Black,85 percent or higher,Landline,1,0.9213,1.2823,1.1619,1.2713,10/27/18 21:13
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,Less than 50 percent,Cell,1,0.3326,2.5217,4.7054,3.1781,10/27/18 21:16
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.8923,0.3962,0.1864,0.3952,10/27/18 21:34
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",Union,35 to 49,White,Less than 50 percent,Landline,1,0.431,1.5649,3.14,1.8446,10/27/18 21:35
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Landline,1,0.9187,1.1392,0.7123,1.13,10/27/18 21:39
Rep,65 and older,Bachelors' degree,Black,Male,Black,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9396,0.4729,0.3156,0.4632,10/27/18 21:49
Dem,65 and older,High school,Black,Female,Black,Approve,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Landline,0.8889,0.8398,1.6635,1.2278,1.5877,10/27/18 21:52
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.8971,0.403,0.1812,0.3967,10/27/18 21:52
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Landline,1,0.9303,0.8262,0.544,0.7993,10/27/18 21:59
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Cell,1,0.9414,1.1948,0.595,1.1701,10/27/18 22:09
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,35 to 49,Unknown,85 percent or higher,Cell,0.8889,0.9652,0.7977,0.5146,0.7766,10/27/18 22:21
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.9698,1.1887,0.7734,1.1675,10/27/18 22:23
3,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Landline,1,0.7775,1.2197,0.6889,1.1872,10/27/18 22:31
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,1.1129,0.5734,1.0875,10/27/18 23:09
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,18 to 34,White,50 to 85 percent,Cell,1,0.6953,2.8624,2.5232,2.9274,10/27/18 23:10
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,2.0211,0.884,1.9849,10/27/18 23:12
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9685,0.8151,0.4238,0.7965,10/28/18 18:35
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Rest,18 to 34,White,Less than 50 percent,Cell,1,0.2329,2.1135,8.9386,2.6996,10/28/18 18:36
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9382,0.9258,0.3572,0.907,10/28/18 18:37
3,65 and older,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Union,65 and older,White,85 percent or higher,Cell,1,0.8788,0.4085,0.226,0.4032,10/28/18 18:43
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Don't know,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,0.6667,0.9245,1.265,0.9349,1.1869,10/28/18 18:45
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Cell,1,0.2253,0.2808,0.6912,0.3224,10/28/18 18:47
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,50 to 64,Unknown,Less than 50 percent,Cell,1,0.266,0.5185,1.0716,0.6425,10/28/18 18:50
Dem,50 to 64,Some college or trade school,Black,Male,Black,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,1,0.8547,0.7064,0.5625,0.6999,10/28/18 18:51
Dem,50 to 64,High school,White,Male,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9655,1.196,0.6324,1.1755,10/28/18 18:53
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7728,0.7249,0.4462,0.7058,10/28/18 18:59
3,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9548,0.5502,0.2287,0.5329,10/28/18 19:02
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Rest,18 to 34,White,50 to 85 percent,Cell,1,0.6161,0.7205,0.7502,0.7792,10/28/18 19:02
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.97,0.978,0.5206,0.9556,10/28/18 19:04
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Republican,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Cell,1,0.9144,0.8271,0.5111,0.8212,10/28/18 19:14
Dem,50 to 64,High school,Other,Male,Other,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Rest,50 to 64,Other Non-White,Less than 50 percent,Cell,0.4444,0.2335,2.3934,5.7227,1.2384,10/28/18 19:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7397,0.3584,0.1846,0.3628,10/28/18 19:20
Und,50 to 64,Graduate or Professional Degree,Black,Female,Black,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,50 to 64,Black,Less than 50 percent,Cell,1,0.3986,0.6137,0.9516,0.6436,10/28/18 19:24
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,0.5938,0.2232,0.5832,10/28/18 19:28
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9148,1.2708,0.7024,1.2616,10/28/18 19:31
Und,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,Rest,35 to 49,White,85 percent or higher,Cell,1,0.9504,0.5513,0.3105,0.5434,10/28/18 19:32
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,18 to 34,White,50 to 85 percent,Landline,1,0.7711,0.7205,0.6022,0.7247,10/28/18 19:32
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.97,0.9061,0.5257,0.8789,10/28/18 19:32
Dem,65 and older,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.97,0.5752,0.4561,0.5649,10/28/18 19:34
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Cell,1,0.97,0.4085,0.206,0.3962,10/28/18 19:39
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Cell,1,0.769,0.9931,0.6382,1.0221,10/28/18 19:44
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7734,0.7249,0.4459,0.7451,10/28/18 19:53
Dem,35 to 49,Bachelors' degree,Black,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Democrat,Nonwhite,Rest,35 to 49,Black,Less than 50 percent,Cell,1,0.4732,0.8956,1.6499,1.0315,10/28/18 19:54
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.9036,0.8013,0.4645,0.7751,10/28/18 19:55
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.954,0.7538,0.3228,0.7374,10/28/18 19:58
Und,50 to 64,Some college or trade school,Black,Male,Black,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,Less than 50 percent,Cell,1,0.3862,0.7378,1.6446,0.8942,10/28/18 19:59
Rep,35 to 49,Bachelors' degree,Hispanic,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",Rest,35 to 49,Other Non-White,Less than 50 percent,Cell,0,0.3066,1.5033,2.9868,0.3616,10/28/18 20:02
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Mecklenburg,50 to 64,White,50 to 85 percent,Cell,1,0.7126,1.0682,0.6484,1.1178,10/28/18 20:03
Dem,50 to 64,High school,Other,Male,Other,Approve,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Rest,50 to 64,Other Non-White,50 to 85 percent,Cell,1,0.8465,2.1996,0.9907,2.131,10/28/18 20:03
3,65 and older,Some college or trade school,White,Male,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Already voted,or as a member of another political party,"White, No 4-Year College Degree",Mecklenburg,65 and older,White,85 percent or higher,Cell,1,0.9549,0.978,0.5286,0.9631,10/28/18 20:03
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Cell,1,0.9591,1.0657,0.502,1.0487,10/28/18 20:09
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7429,0.4883,0.2601,0.4768,10/28/18 20:13
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Union,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.1665,2.4926,10.1,3.8058,10/28/18 20:13
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9005,0.7497,0.3438,0.7466,10/28/18 20:14
Und,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,50 to 85 percent,Cell,1,0.836,0.9886,0.7902,0.9996,10/28/18 20:19
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Landline,1,0.8631,1.1502,0.5509,1.1382,10/28/18 20:20
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Cell,1,0.97,0.5211,0.2618,0.5092,10/28/18 20:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Union,50 to 64,White,50 to 85 percent,Cell,1,0.5404,1.104,0.7284,1.2312,10/28/18 20:31
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Union,18 to 34,White,Less than 50 percent,Cell,0.8889,0.4893,1.5638,3.6863,1.5334,10/28/18 20:36
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Cell,1,0.97,0.7821,0.3471,0.7682,10/28/18 20:37
Dem,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.7542,0.7266,0.3263,0.751,10/28/18 20:38
Rep,18 to 34,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Rest,18 to 34,White,50 to 85 percent,Cell,1,0.8447,1.7997,1.5554,1.7861,10/28/18 20:42
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.949,0.304,0.16,0.2975,10/28/18 20:43
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.9586,0.978,0.5266,0.9624,10/28/18 20:45
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Union,35 to 49,White,50 to 85 percent,Cell,1,0.6929,0.5335,0.4383,0.5459,10/28/18 20:50
3,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,Unknown,85 percent or higher,Cell,1,0.9675,0.7896,0.3041,0.7758,10/28/18 21:04
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,Less than 50 percent,Landline,0.7778,0.2669,1.1562,2.7953,1.1371,10/28/18 21:05
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,0.678,0.2568,0.6626,10/28/18 21:06
Dem,35 to 49,Some college or trade school,Other,Female,Other,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.517,1.8138,1.6522,1.9558,10/28/18 21:07
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,50 to 85 percent,Landline,1,0.8258,0.641,0.3457,0.6382,10/28/18 21:11
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,or as a member of another political party,Nonwhite,Union,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.4616,2.9964,6.4838,3.08,10/28/18 21:12
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.6283,0.3394,0.2495,0.3654,10/28/18 21:14
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.7212,0.6865,0.5571,0.6979,10/28/18 21:21
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Mecklenburg,35 to 49,Other Non-White,Less than 50 percent,Cell,1,0.3569,2.2154,3.4707,2.574,10/28/18 21:23
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,Union,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.8408,1.0223,0.5951,1.0324,10/28/18 21:23
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Landline,1,0.963,0.9353,0.5896,0.9197,10/28/18 21:27
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Cell,1,0.953,1.3902,0.8267,1.3601,10/28/18 21:33
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Male,Hispanic,Don't know,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Mecklenburg,65 and older,Unknown,50 to 85 percent,Cell,1,0.5606,0.8408,0.5668,0.7461,10/28/18 21:35
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,Rest,18 to 34,Black,50 to 85 percent,Cell,1,0.8271,1.221,1.4285,1.2373,10/28/18 21:36
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.9003,1.107,0.6277,1.0895,10/28/18 21:36
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.8501,0.7538,0.3605,0.7474,10/28/18 21:36
3,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.97,0.5211,0.2618,0.5092,10/28/18 21:37
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Rest,65 and older,White,50 to 85 percent,Cell,1,0.7947,0.5902,0.3985,0.5909,10/28/18 21:39
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.97,0.5877,0.3008,0.5772,10/28/18 21:52
Dem,65 and older,High school,White,Male,White,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.9534,0.9738,0.5869,0.9102,10/28/18 21:52
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",Mecklenburg,18 to 34,White,50 to 85 percent,Cell,1,0.6232,1.9282,1.546,1.9132,10/28/18 21:58
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,50 to 64,Unknown,85 percent or higher,Cell,1,0.9164,1.0401,0.5016,1.0322,10/28/18 22:00
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Cell,1,0.9679,1.0657,0.4975,1.0471,10/28/18 22:02
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Cell,1,0.97,0.5566,0.2922,0.5466,10/28/18 22:04
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.97,1.2615,0.4949,1.2389,10/28/18 22:05
